,チーム1の得点,チーム2の得点,ATT_diff,MID_diff,DEF_diff,OVR_diff,Result,Team1,Team2
940,2,0,6,7,4,4,1,4,20
941,2,0,6,7,4,4,1,4,20
942,2,0,6,7,4,4,1,4,20
943,2,0,6,7,4,4,1,4,20
944,0,1,-11,-9,-5,-7,-1,20,2
945,1,2,4,0,1,2,-1,2,23
946,2,0,-1,2,3,1,1,23,8
947,0,0,4,1,-1,1,0,8,7
948,0,0,-4,-5,-6,-5,0,7,16
949,0,4,-8,-5,-1,-4,-1,16,14
950,4,2,6,6,4,4,1,14,21
951,2,1,6,4,3,5,1,21,7
952,1,1,-7,-7,-4,-6,0,7,15
953,1,1,5,2,2,2,0,15,6
954,1,1,5,2,2,2,0,15,6
955,1,1,5,2,2,2,0,15,6
956,1,1,5,2,2,2,0,15,6
957,1,0,2,5,2,4,1,6,7
958,1,0,2,5,2,4,1,6,7
959,1,0,2,5,2,4,1,6,7
960,1,0,2,5,2,4,1,6,7
961,0,1,-4,-5,-6,-5,-1,7,16
962,1,0,3,4,6,4,1,16,9
963,0,0,-5,-3,-3,-4,0,9,21
964,0,2,-1,-4,-2,-1,-1,21,1
965,2,1,-5,-3,-3,-3,1,15,14
966,1,3,10,9,5,8,-1,14,4
967,3,0,-7,-5,-6,-6,1,4,12
968,1,2,8,7,1,4,-1,8,20
969,2,2,-4,-7,-1,-4,0,20,18
970,2,0,2,1,0,2,1,18,11
971,0,5,-9,-8,-6,-7,-1,11,1
972,5,1,3,7,6,5,1,1,8
973,1,1,4,1,-1,1,0,8,3
974,1,2,3,4,4,3,-1,3,10
975,2,3,-5,-5,-6,-4,-1,10,4
976,3,1,-1,-2,0,-1,1,4,23
977,1,1,9,5,5,4,0,23,5
978,1,1,9,5,5,4,0,23,5
979,1,1,9,5,5,4,0,23,5
980,1,1,9,5,5,4,0,23,5
981,1,2,-10,-7,-9,-7,-1,5,16
982,2,2,2,0,4,1,0,16,6
983,2,1,7,10,9,10,1,6,22
984,1,1,-5,-5,-7,-6,0,22,7
985,1,0,-7,-7,-4,-6,1,7,15
986,0,4,9,7,5,7,-1,15,11
987,4,1,2,6,1,2,1,11,20
988,1,3,-13,-12,-10,-10,-1,20,12
989,3,1,9,5,8,7,1,12,24
990,1,3,-12,-9,-7,-9,-1,24,14
991,3,2,5,7,4,5,1,14,2
992,2,0,12,7,8,8,1,2,17
993,2,0,12,7,8,8,1,2,17
994,2,0,12,7,8,8,1,2,17
995,2,0,12,7,8,8,1,2,17
996,0,5,-11,-8,-8,-9,-1,17,21
997,5,3,2,3,4,4,1,21,8
998,3,2,4,1,-1,1,1,8,7
999,2,1,-7,-3,-3,-4,1,7,2
1000,1,1,13,5,6,6,0,2,5
1001,1,1,-8,-7,-5,-6,0,5,6
1002,1,1,-8,-7,-5,-6,0,5,6
1003,1,1,-8,-7,-5,-6,0,5,6
1004,1,1,-8,-7,-5,-6,0,5,6
1005,1,1,4,5,3,5,0,6,11
1006,1,1,2,6,1,2,0,11,20
1007,1,2,-13,-12,-10,-10,-1,20,12
1008,2,2,5,1,2,2,0,12,16
1009,2,0,-3,-3,1,-1,1,16,1
1010,0,1,1,4,2,1,-1,1,21
1011,1,0,12,6,6,7,1,21,5
1012,0,1,-13,-5,-6,-6,-1,5,2
1013,1,1,7,3,3,4,0,2,7
1014,1,1,3,4,4,3,0,7,10
1015,1,1,-5,-5,-6,-4,0,10,4
1016,1,1,7,6,9,7,0,4,22
1017,1,5,-3,-5,-6,-5,-1,22,11
1018,5,2,-5,-3,-3,-3,1,11,23
1019,2,2,-9,-7,-5,-7,0,23,14
1020,2,1,12,9,7,9,1,14,24
1021,1,1,5,5,5,4,0,24,17
1022,1,2,-9,-5,-4,-5,-1,17,8
1023,2,3,4,1,-1,1,-1,8,3
1024,3,3,-6,-4,-3,-5,0,3,21
1025,3,0,-1,-4,-2,-1,1,21,1
1026,0,0,10,12,9,9,0,1,10
1027,0,3,-5,-9,-6,-7,-1,10,6
1028,3,3,4,5,3,5,0,6,11
1029,3,0,3,4,4,3,1,11,17
1030,0,0,0,1,2,2,0,17,22
1031,0,0,-9,-6,-6,-7,0,22,8
1032,0,0,-9,-6,-6,-7,0,22,8
1033,0,0,-9,-6,-6,-7,0,22,8
1034,0,0,-9,-6,-6,-7,0,22,8
1035,0,1,4,0,-1,1,-1,8,24
1036,0,1,4,0,-1,1,-1,8,24
1037,0,1,4,0,-1,1,-1,8,24
1038,0,1,4,0,-1,1,-1,8,24
1039,1,5,-12,-9,-7,-9,-1,24,14
1040,5,1,5,7,4,5,1,14,2
1041,1,2,-2,-3,-5,-3,-1,2,12
1042,2,1,10,12,9,9,1,1,10
1043,1,2,-6,-1,0,-2,-1,11,8
1044,2,0,9,5,4,5,1,8,17
1045,0,4,-8,-7,-7,-6,-1,17,23
1046,4,5,-9,-7,-5,-7,-1,23,14
1047,5,0,8,5,1,4,1,14,16
1048,0,3,4,5,6,5,-1,16,3
1049,0,1,2,-4,1,-1,-1,20,5
1050,1,3,-13,-5,-6,-6,-1,5,2
1051,3,2,5,-2,1,0,1,2,6
1052,2,2,2,4,2,4,0,6,24
1053,2,1,0,1,0,0,1,24,7
1054,1,0,5,5,7,6,1,7,22
1055,0,4,-7,-6,-9,-7,-1,22,4
1056,4,0,-5,-6,-2,-5,1,4,15
1057,1,1,3,2,5,2,0,12,21
1058,1,3,-1,-3,-1,-1,-1,21,15
1059,3,0,7,7,4,6,1,15,3
1060,0,1,-4,-1,1,-1,-1,3,8
1061,1,0,2,-4,-3,-3,1,8,6
1062,0,3,-4,1,-1,-1,-1,6,21
1063,3,1,8,4,4,6,1,21,11
1064,1,1,-5,-3,-3,-3,0,11,23
1065,1,1,-5,-3,-3,-3,0,11,23
1066,1,1,-5,-3,-3,-3,0,11,23
1067,1,1,-5,-3,-3,-3,0,11,23
1068,1,1,-5,-3,-3,-3,0,11,23
1069,1,1,-5,-3,-3,-3,0,11,23
1070,1,1,-5,-3,-3,-3,0,11,23
1071,1,1,-5,-3,-3,-3,0,11,23
1072,1,1,-5,-3,-3,-3,0,11,23
1073,1,2,-4,-5,-3,-4,-1,23,1
1074,2,0,3,3,-1,1,1,1,16
1075,0,1,-5,-1,-2,-2,-1,16,12
1076,1,2,2,3,5,3,-1,12,2
1077,0,1,-1,2,-3,-1,-1,17,20
1078,1,2,-4,-6,-2,-3,-1,20,7
1079,2,1,5,5,7,6,1,7,22
1080,1,2,1,-3,-4,-4,-1,22,5
1081,2,0,-6,-3,-3,-2,1,5,24
1082,0,3,-2,0,-2,-1,-1,24,4
1083,3,0,5,5,6,4,1,4,10
1084,0,4,-15,-14,-11,-12,-1,10,14
1085,0,0,3,4,4,3,0,7,10
1086,0,2,-5,-5,-6,-4,-1,10,4
1087,2,2,6,7,4,4,0,4,20
1088,2,1,2,-4,1,-1,1,20,5
